id;nombre;departamento_id;zona_id
1;REMEDIOS;1;1
2;RETIRO;1;1
3;RIONEGRO;1;1
4;SAN CARLOS;1;1
5;SAN ROQUE;1;1
6;SAN VICENTE;1;1
7;VEGACHÍ;1;1
8;YOLOMBÓ;1;1
9;ARMENIA;1;2
10;FREDONIA;1;2
11;ITUANGO;1;2
12;JARDÍN;1;2
13;LA UNIÓN;1;2
14;SANTA BÁRBARA;1;2
15;SANTA FE DE ANTIOQUIA;1;2
16;SONSÓN;1;2
17;TITIRIBÍ;1;2
18;VALDIVIA;1;2
19;AMALFI;1;3
20;ANGOSTURA;1;3
21;ANORÍ;1;3
22;BELLO;1;3
23;CALDAS;1;3
24;EL BAGRE;1;3
25;MEDELLÍN;1;3
26;NECHÍ;1;3
27;SANTA ROSA DE OSOS;1;3
28;SANTO DOMINGO;1;3
29;SEGOVIA;1;3
30;CAREPA;1;4
31;TURBO;1;4
32;ABRIAQUÍ;1;5
33;CAÑASGORDAS;1;5
34;DABEIBA;1;5
35;FRONTINO;1;5
36;GIRALDO;1;5
